Order ID,Date,Product,Price,Quantity,Purchase Type,Payment Method,Manager,City
10554,27-11-2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10555,28-11-2022,Burgers,12.99,477.29,Online , Credit Card,Tom Jackson,London
10556,28-11-2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10557,28-11-2022,Fries,3.49,630.37,Online , Credit Card,Tom Jackson,London
10558,28-11-2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10559,28-11-2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10560,29-11-2022,Burgers,12.99,477.29,Online , Credit Card,Tom Jackson,London
10561,29-11-2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10562,29-11-2022,Fries,3.49,630.37,Online , Credit Card,Tom Jackson,London
10563,29-11-2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10564,29-11-2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10565,30-11-2022,Burgers,12.99,492.69,Online , Credit Card,Tom Jackson,London
10566,30-11-2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10567,30-11-2022,Fries,3.49,630.37,Online , Credit Card,Tom Jackson,London
10568,30-11-2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10569,30-11-2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10570,01-12-2022,Burgers,12.99,492.69,Online , Credit Card,Tom Jackson,London
10571,01-12-2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10572,01-12-2022,Fries,3.49,573.07,Online , Credit Card,Remy Monet,Paris
10573,01-12-2022,Beverages,2.95,677.97,Online , Credit Card,Remy Monet,Paris
10574,01-12-2022,Sides & Other,4.99,200.4,Online , Credit Card,Remy Monet,Paris
10575,02-12-2022,Burgers,12.99,523.48,Online , Credit Card,Remy Monet,Paris
10576,02-12-2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Remy Monet,Paris
10577,02-12-2022,Fries,3.49,630.37,Online , Credit Card,Remy Monet,Paris
10578,02-12-2022,Beverages,2.95,677.97,Online , Credit Card,Remy Monet,Paris
10579,02-12-2022,Sides & Other,4.99,200.4,Online , Credit Card,Remy Monet,Paris
10580,03-12-2022,Burgers,12.99,523.48,Online , Credit Card,Remy Monet,Paris
10581,03-12-2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Remy Monet,Paris
10582,03-12-2022,Fries,3.49,630.37,Online , Credit Card,Tom Jackson,London
10583,03-12-2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10584,03-12-2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10585,04-12-2022,Burgers,12.99,538.88,Online , Credit Card,Tom Jackson,London
10586,04-12-2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10537,24-11-2022,Fries,3.49,630.37,Drive-thru , Credit Card,Pablo Perez,Madrid
10538,24-11-2022,Beverages,2.95,745.76,Drive-thru , Credit Card,Pablo Perez,Madrid
10539,24-11-2022,Sides & Other,4.99,200.4,Drive-thru , Credit Card,Pablo Perez,Madrid
10590,05-12-2022,Burgers,12.99,554.27,Online , Credit Card,Tom Jackson,London
10591,05-12-2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10592,05-12-2022,Fries,3.49,573.07,Online , Credit Card,Tom Jackson,London
10593,05-12-2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10594,05-12-2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10595,06-12-2022,Burgers,12.99,538.88,Online , Credit Card,Tom Jackson,London
10596,06-12-2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10597,06-12-2022,Fries,3.49,573.07,Online , Credit Card,Tom Jackson,London
10598,06-12-2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10599,06-12-2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10600,07-12-2022,Burgers,12.99,523.48,Online , Credit Card,Tom Jackson,London
10601,07-12-2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10602,07-12-2022,Fries,3.49,630.37,Online , Cash,Tom Jackson,London
10603,07-12-2022,Beverages,2.95,677.97,Online , Cash,Tom Jackson,London
10604,07-12-2022,Sides & Other,4.99,200.4,Online , Cash,Tom Jackson,London
10605,08-12-2022,Burgers,12.99,538.88,Online , Cash,Tom Jackson,London
10606,08-12-2022,Chicken Sandwiches,9.95,201.01,Online , Cash,Tom Jackson,London
10607,08-12-2022,Fries,3.49,630.37,Online , Cash,Tom Jackson,London
10608,08-12-2022,Beverages,2.95,677.97,Online , Gift Card,Tom Jackson,London
10609,08-12-2022,Sides & Other,4.99,200.4,Online , Gift Card,Tom Jackson,London
10610,09-12-2022,Burgers,12.99,569.67,Online , Gift Card,Tom Jackson,London
10611,09-12-2022,Chicken Sandwiches,9.95,201.01,Online , Gift Card,Tom Jackson,London
10612,09-12-2022,Fries,3.49,630.37,Online , Gift Card,Tom Jackson,London
10613,09-12-2022,Beverages,2.95,677.97,Online , Gift Card,Tom Jackson,London
10614,09-12-2022,Sides & Other,4.99,200.4,Online , Gift Card,Tom Jackson,London
10615,10-12-2022,Burgers,12.99,569.67,Online , Gift Card,Tom Jackson,London
10616,10-12-2022,Chicken Sandwiches,9.95,201.01,Online , Gift Card,Tom Jackson,London
10617,10-12-2022,Fries,3.49,630.37,Online , Gift Card,Tom Jackson,London
10618,10-12-2022,Beverages,2.95,677.97,Online , Gift Card,Tom Jackson,London
10619,10-12-2022,Sides & Other,4.99,200.4,Online , Gift Card,Tom Jackson,London
10620,11-12-2022,Burgers,12.99,585.07,Online , Gift Card,Tom Jackson,London
10621,11-12-2022,Chicken Sandwiches,9.95,201.01,Online , Gift Card,Tom Jackson,London
10622,11-12-2022,Fries,3.49,630.37,Online , Gift Card,Tom Jackson,London
10623,11-12-2022,Beverages,2.95,745.76,Online , Gift Card,Tom Jackson,London
10624,11-12-2022,Sides & Other,4.99,200.4,Online , Gift Card,Tom Jackson,London
10625,12-12-2022,Burgers,12.99,569.67,Online , Gift Card,Tom Jackson,London
10626,12-12-2022,Chicken Sandwiches,9.95,201.01,Online , Gift Card,Tom Jackson,London
10627,12-12-2022,Fries,3.49,630.37,Online , Gift Card,Tom Jackson,London
10628,12-12-2022,Beverages,2.95,677.97,Online , Gift Card,Joao Silva,Lisbon
10629,12-12-2022,Sides & Other,4.99,200.4,Online , Gift Card,Joao Silva,Lisbon
10630,13-12-2022,Burgers,12.99,569.67,Online , Cash,Joao Silva,Lisbon
10631,13-12-2022,Chicken Sandwiches,9.95,201.01,Online , Gift Card,Joao Silva,Lisbon
10632,13-12-2022,Fries,3.49,630.37,Online , Gift Card,Joao Silva,Lisbon
10633,13-12-2022,Beverages,2.95,677.97,Online , Gift Card,Joao Silva,Lisbon
10634,13-12-2022,Sides & Other,4.99,200.4,Online , Gift Card,Joao Silva,Lisbon
10635,14-12-2022,Burgers,12.99,554.27,Online , Gift Card,Joao Silva,Lisbon
10636,14-12-2022,Chicken Sandwiches,9.95,221.11,Online , Gift Card,Joao Silva,Lisbon
10637,14-12-2022,Fries,3.49,630.37,Online , Gift Card,Joao Silva,Lisbon
10638,14-12-2022,Beverages,2.95,677.97,Online , Gift Card,Joao Silva,Lisbon
10639,14-12-2022,Sides & Other,4.99,200.4,Online , Gift Card,Joao Silva,Lisbon
10640,15-12-2022,Burgers,12.99,538.88,Online , Gift Card,Joao Silva,Lisbon
10641,15-12-2022,Chicken Sandwiches,9.95,221.11,Online , Gift Card,Joao Silva,Lisbon
10642,15-12-2022,Fries,3.49,630.37,Online , Cash,Joao Silva,Lisbon
10643,15-12-2022,Beverages,2.95,677.97,Online , Cash,Joao Silva,Lisbon
10644,15-12-2022,Sides & Other,4.99,200.4,Online , Cash,Joao Silva,Lisbon
10645,16-12-2022,Burgers,12.99,569.67,Online , Cash,Joao Silva,Lisbon
10646,16-12-2022,Chicken Sandwiches,9.95,221.11,Online , Cash,Joao Silva,Lisbon
10647,16-12-2022,Fries,3.49,630.37,Online , Gift Card,Joao Silva,Lisbon
10648,16-12-2022,Beverages,2.95,745.76,Online , Gift Card,Joao Silva,Lisbon
10649,16-12-2022,Sides & Other,4.99,200.4,Online , Gift Card,Joao Silva,Lisbon
10650,17-12-2022,Burgers,12.99,585.07,Online , Gift Card,Joao Silva,Lisbon
10651,17-12-2022,Chicken Sandwiches,9.95,221.11,Online , Gift Card,Joao Silva,Lisbon
10652,17-12-2022,Fries,3.49,687.68,Online , Gift Card,Joao Silva,Lisbon
10653,17-12-2022,Beverages,2.95,745.76,Online , Gift Card,Joao Silva,Lisbon
10654,17-12-2022,Sides & Other,4.99,200.4,Online , Gift Card,Joao Silva,Lisbon
10655,18-12-2022,Burgers,12.99,600.46,Online , Gift Card,Joao Silva,Lisbon
10656,18-12-2022,Chicken Sandwiches,9.95,221.11,Online , Gift Card,Joao Silva,Lisbon
10657,18-12-2022,Fries,3.49,687.68,Online , Gift Card,Joao Silva,Lisbon
10658,18-12-2022,Beverages,2.95,745.76,Online , Cash,Joao Silva,Lisbon
10659,18-12-2022,Sides & Other,4.99,200.4,Online , Cash,Joao Silva,Lisbon
10660,19-12-2022,Burgers,12.99,631.25,In-store , Cash,Joao Silva,Lisbon
10661,19-12-2022,Chicken Sandwiches,9.95,221.11,In-store , Cash,Joao Silva,Lisbon
10662,19-12-2022,Fries,3.49,630.37,In-store , Cash,Joao Silva,Lisbon
10663,19-12-2022,Beverages,2.95,745.76,In-store , Cash,Joao Silva,Lisbon
10664,19-12-2022,Sides & Other,4.99,200.4,In-store , Cash,Joao Silva,Lisbon
10665,20-12-2022,Burgers,12.99,646.65,In-store , Cash,Joao Silva,Lisbon
10666,20-12-2022,Chicken Sandwiches,9.95,221.11,In-store , Cash,Joao Silva,Lisbon
10667,20-12-2022,Fries,3.49,630.37,In-store , Cash,Joao Silva,Lisbon
10668,20-12-2022,Beverages,2.95,745.76,In-store , Cash,Joao Silva,Lisbon
10669,20-12-2022,Sides & Other,4.99,200.4,In-store , Cash,Joao Silva,Lisbon
10670,21-12-2022,Burgers,12.99,677.44,In-store , Cash,Joao Silva,Lisbon
10671,21-12-2022,Chicken Sandwiches,9.95,221.11,In-store , Cash,Joao Silva,Lisbon
10672,21-12-2022,Fries,3.49,630.37,In-store , Cash,Joao Silva,Lisbon
10673,21-12-2022,Beverages,2.95,745.76,In-store , Cash,Joao Silva,Lisbon
10674,21-12-2022,Sides & Other,4.99,200.4,In-store , Cash,Joao Silva,Lisbon
10675,22-12-2022,Burgers,12.99,677.44,In-store , Cash,Joao Silva,Lisbon
10676,22-12-2022,Chicken Sandwiches,9.95,241.21,In-store , Cash,Joao Silva,Lisbon
10677,22-12-2022,Fries,3.49,630.37,In-store , Cash,Joao Silva,Lisbon
10678,22-12-2022,Beverages,2.95,745.76,In-store , Cash,Joao Silva,Lisbon
10679,22-12-2022,Sides & Other,4.99,200.4,In-store , Cash,Joao Silva,Lisbon
10680,23-12-2022,Burgers,12.99,646.65,In-store , Cash,Joao Silva,Lisbon
10681,23-12-2022,Chicken Sandwiches,9.95,241.21,In-store , Cash,Joao Silva,Lisbon
10682,23-12-2022,Fries,3.49,630.37,In-store , Cash,Joao Silva,Lisbon
10683,23-12-2022,Beverages,2.95,677.97,In-store , Cash,Joao Silva,Lisbon
10684,23-12-2022,Sides & Other,4.99,200.4,In-store , Cash,Joao Silva,Lisbon
10685,24-12-2022,Burgers,12.99,677.44,In-store , Cash,Joao Silva,Lisbon
10686,24-12-2022,Chicken Sandwiches,9.95,241.21,In-store , Cash,Joao Silva,Lisbon
10687,24-12-2022,Fries,3.49,630.37,In-store , Cash,Walter Muller,Berlin
10688,24-12-2022,Beverages,2.95,677.97,In-store , Cash,Walter Muller,Berlin
10689,24-12-2022,Sides & Other,4.99,200.4,In-store , Cash,Walter Muller,Berlin
10690,25-12-2022,Burgers,12.99,677.44,In-store , Cash,Walter Muller,Berlin
10691,25-12-2022,Chicken Sandwiches,9.95,261.31,In-store , Cash,Walter Muller,Berlin
10692,25-12-2022,Fries,3.49,630.37,In-store , Cash,Walter Muller,Berlin
10693,25-12-2022,Beverages,2.95,677.97,In-store , Cash,Walter Muller,Berlin
10694,25-12-2022,Sides & Other,4.99,200.4,In-store , Cash,Walter Muller,Berlin
10695,26-12-2022,Burgers,12.99,692.84,In-store , Cash,Walter Muller,Berlin
10696,26-12-2022,Chicken Sandwiches,9.95,281.41,In-store , Cash,Walter Muller,Berlin
10697,26-12-2022,Fries,3.49,630.37,In-store , Cash,Walter Muller,Berlin
10698,26-12-2022,Beverages,2.95,677.97,In-store , Cash,Walter Muller,Berlin
10699,26-12-2022,Sides & Other,4.99,200.4,In-store , Cash,Walter Muller,Berlin
10700,27-12-2022,Burgers,12.99,692.84,In-store , Cash,Walter Muller,Berlin
10701,27-12-2022,Chicken Sandwiches,9.95,281.41,In-store , Cash,Walter Muller,Berlin
10702,27-12-2022,Fries,3.49,630.37,In-store , Cash,Walter Muller,Berlin
10703,27-12-2022,Beverages,2.95,677.97,In-store , Gift Card,Walter Muller,Berlin
10704,27-12-2022,Sides & Other,4.99,200.4,Drive-thru , Gift Card,Walter Muller,Berlin
10705,28-12-2022,Burgers,12.99,723.63,Drive-thru , Gift Card,Walter Muller,Berlin
10706,28-12-2022,Chicken Sandwiches,9.95,301.51,Drive-thru , Gift Card,Walter Muller,Berlin
10707,28-12-2022,Fries,3.49,630.37,Drive-thru , Gift Card,Walter Muller,Berlin
10708,28-12-2022,Beverages,2.95,677.97,Drive-thru , Gift Card,Walter Muller,Berlin
10709,28-12-2022,Sides & Other,4.99,200.4,Drive-thru , Gift Card,Walter Muller,Berlin
10710,29-12-2022,Burgers,12.99,754.43,Drive-thru , Gift Card,Walter Muller,Berlin
10711,29-12-2022,Chicken Sandwiches,9.95,281.41,Drive-thru , Gift Card,Walter Muller,Berlin
10712,29-12-2022,Fries,3.49,630.37,Drive-thru , Gift Card,Walter Muller,Berlin
10713,29-12-2022,Beverages,2.95,677.97,Drive-thru , Gift Card,Walter Muller,Berlin
